,dataset,rewiring,num_iterations,avg_accuracy,ci
0,cornell,sdrf_bfc,50,0.6270270270270271,0.05554695169152489
0,cornell,sdrf_orc,50,0.6486486486486486,0.03151865889105568
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
2,texas,sdrf_bfc,50,0.7837837837837838,0.04187009022926937
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
2,texas,sdrf_bfc,50,0.7837837837837838,0.04187009022926937
3,chameleon,sdrf_bfc,50,0.6708333333333333,0.012612223230779837
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
2,texas,sdrf_bfc,50,0.7837837837837838,0.04187009022926937
3,chameleon,sdrf_bfc,50,0.6708333333333333,0.012612223230779837
4,squirrel,sdrf_bfc,50,0.4706051873198847,0.009045911152228813
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
2,texas,sdrf_bfc,50,0.7837837837837838,0.04187009022926937
3,chameleon,sdrf_bfc,50,0.6708333333333333,0.012612223230779837
4,squirrel,sdrf_bfc,50,0.4706051873198847,0.009045911152228813
5,actor,sdrf_bfc,50,0.33532894736842106,0.0062164612587642986
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
2,texas,sdrf_bfc,50,0.7837837837837838,0.04187009022926937
3,chameleon,sdrf_bfc,50,0.6708333333333333,0.012612223230779837
4,squirrel,sdrf_bfc,50,0.4706051873198847,0.009045911152228813
5,actor,sdrf_bfc,50,0.33532894736842106,0.0062164612587642986
6,cora,sdrf_bfc,50,0.8638376383763837,0.007227198920941736
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
2,texas,sdrf_bfc,50,0.7837837837837838,0.04187009022926937
3,chameleon,sdrf_bfc,50,0.6708333333333333,0.012612223230779837
4,squirrel,sdrf_bfc,50,0.4706051873198847,0.009045911152228813
5,actor,sdrf_bfc,50,0.33532894736842106,0.0062164612587642986
6,cora,sdrf_bfc,50,0.8638376383763837,0.007227198920941736
7,citeseer,sdrf_bfc,50,0.7358858858858859,0.010510081501326035
0,cornell,sdrf_bfc,50,0.6513513513513514,0.03931480334263391
1,wisconsin,sdrf_bfc,50,0.7333333333333334,0.028387389915064874
2,texas,sdrf_bfc,50,0.7837837837837838,0.04187009022926937
3,chameleon,sdrf_bfc,50,0.6708333333333333,0.012612223230779837
4,squirrel,sdrf_bfc,50,0.4706051873198847,0.009045911152228813
5,actor,sdrf_bfc,50,0.33532894736842106,0.0062164612587642986
6,cora,sdrf_bfc,50,0.8638376383763837,0.007227198920941736
7,citeseer,sdrf_bfc,50,0.7358858858858859,0.010510081501326035
8,pubmed,sdrf_bfc,50,0.8844827586206897,0.0038494154962304887
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
2,texas,sdrf_orc,50,0.7270270270270272,0.04148450563102679
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
2,texas,sdrf_orc,50,0.7270270270270272,0.04148450563102679
3,chameleon,sdrf_orc,50,0.6725877192982456,0.007944531076330192
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
2,texas,sdrf_orc,50,0.7270270270270272,0.04148450563102679
3,chameleon,sdrf_orc,50,0.6725877192982456,0.007944531076330192
4,squirrel,sdrf_orc,50,0.46330451488952934,0.00945139517560632
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
2,texas,sdrf_orc,50,0.7270270270270272,0.04148450563102679
3,chameleon,sdrf_orc,50,0.6725877192982456,0.007944531076330192
4,squirrel,sdrf_orc,50,0.46330451488952934,0.00945139517560632
5,actor,sdrf_orc,50,0.33888157894736837,0.007402295256827576
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
2,texas,sdrf_orc,50,0.7270270270270272,0.04148450563102679
3,chameleon,sdrf_orc,50,0.6725877192982456,0.007944531076330192
4,squirrel,sdrf_orc,50,0.46330451488952934,0.00945139517560632
5,actor,sdrf_orc,50,0.33888157894736837,0.007402295256827576
6,cora,sdrf_orc,50,0.8625461254612545,0.009454706992855322
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
2,texas,sdrf_orc,50,0.7270270270270272,0.04148450563102679
3,chameleon,sdrf_orc,50,0.6725877192982456,0.007944531076330192
4,squirrel,sdrf_orc,50,0.46330451488952934,0.00945139517560632
5,actor,sdrf_orc,50,0.33888157894736837,0.007402295256827576
6,cora,sdrf_orc,50,0.8625461254612545,0.009454706992855322
7,citeseer,sdrf_orc,50,0.7378378378378379,0.006330569654318966
0,cornell,sdrf_orc,50,0.6594594594594595,0.0288062975015659
1,wisconsin,sdrf_orc,50,0.7098039215686275,0.020602236135786184
2,texas,sdrf_orc,50,0.7270270270270272,0.04148450563102679
3,chameleon,sdrf_orc,50,0.6725877192982456,0.007944531076330192
4,squirrel,sdrf_orc,50,0.46330451488952934,0.00945139517560632
5,actor,sdrf_orc,50,0.33888157894736837,0.007402295256827576
6,cora,sdrf_orc,50,0.8625461254612545,0.009454706992855322
7,citeseer,sdrf_orc,50,0.7378378378378379,0.006330569654318966
8,pubmed,sdrf_orc,50,0.8863336713995944,0.003498655068591759
